schema,function_name,function_definition
public,update_deal_products,"CREATE OR REPLACE FUNCTION public.update_deal_products(deal_uuid uuid, products_data jsonb)
 RETURNS void
 LANGUAGE plpgsql
AS $function$
DECLARE
    product_item JSONB;
BEGIN
    -- Delete existing products for this deal
    DELETE FROM deal_products WHERE deal_id = deal_uuid;
    
    -- Insert new products
    FOR product_item IN SELECT * FROM jsonb_array_elements(products_data)
    LOOP
        INSERT INTO deal_products (
            deal_id,
            product_id,
            product_name,
            quantity,
            price_per_unit,
            notes
        ) VALUES (
            deal_uuid,
            (product_item->>'product_id')::UUID,
            product_item->>'product_name',
            (product_item->>'quantity')::INTEGER,
            (product_item->>'price_per_unit')::DECIMAL(15,2),
            product_item->>'notes'
        );
    END LOOP;
END;
$function$
"
public,update_deals_updated_at,"CREATE OR REPLACE FUNCTION public.update_deals_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_document_folders_updated_at,"CREATE OR REPLACE FUNCTION public.update_document_folders_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_documents_updated_at,"CREATE OR REPLACE FUNCTION public.update_documents_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_folder_stats,"CREATE OR REPLACE FUNCTION public.update_folder_stats()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    -- Update folder statistics could be added here if needed
    RETURN COALESCE(NEW, OLD);
END;
$function$
"
public,update_installations_updated_at,"CREATE OR REPLACE FUNCTION public.update_installations_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_lead_products,"CREATE OR REPLACE FUNCTION public.update_lead_products(lead_uuid uuid, products_data jsonb)
 RETURNS void
 LANGUAGE plpgsql
AS $function$
DECLARE
    product_item JSONB;
BEGIN
    -- Delete existing products for this lead
    DELETE FROM lead_products WHERE lead_id = lead_uuid;
    
    -- Insert new products
    FOR product_item IN SELECT * FROM jsonb_array_elements(products_data)
    LOOP
        INSERT INTO lead_products (
            lead_id,
            product_id,
            product_name,
            quantity,
            price_per_unit,
            notes
        ) VALUES (
            lead_uuid,
            (product_item->>'product_id')::UUID,
            product_item->>'product_name',
            (product_item->>'quantity')::INTEGER,
            (product_item->>'price_per_unit')::DECIMAL(15,2),
            product_item->>'notes'
        );
    END LOOP;
END;
$function$
"
public,update_product_stock,"CREATE OR REPLACE FUNCTION public.update_product_stock()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_quantity_change INTEGER;
    v_stock_entry RECORD;
    v_quantity_before INTEGER;
    v_quantity_after INTEGER;
BEGIN
    -- Get stock entry details
    SELECT * INTO v_stock_entry FROM stock_entries WHERE id = NEW.stock_entry_id;

    -- Only process if stock entry is approved/completed
    IF v_stock_entry.status NOT IN ('approved', 'completed') THEN
        RETURN NEW;
    END IF;

    -- Get current stock quantity
    SELECT stock_quantity INTO v_quantity_before FROM products WHERE id = NEW.product_id;

    -- Calculate quantity change based on entry type
    IF v_stock_entry.entry_type = 'inward' THEN
        v_quantity_change := NEW.quantity;
    ELSIF v_stock_entry.entry_type = 'outward' THEN
        v_quantity_change := -NEW.quantity;
    END IF;

    -- Update product stock
    UPDATE products
    SET stock_quantity = stock_quantity + v_quantity_change
    WHERE id = NEW.product_id
    RETURNING stock_quantity INTO v_quantity_after;

    -- Create transaction record
    INSERT INTO stock_transactions (
        company_id,
        product_id,
        stock_entry_id,
        stock_entry_item_id,
        transaction_type,
        quantity_change,
        quantity_before,
        quantity_after,
        unit_cost,
        value_change,
        reference_type,
        reference_number,
        performed_by,
        remarks
    ) VALUES (
        v_stock_entry.company_id,
        NEW.product_id,
        NEW.stock_entry_id,
        NEW.id,
        v_stock_entry.entry_type,
        v_quantity_change,
        v_quantity_before,
        v_quantity_after,
        NEW.unit_price,
        NEW.total_price * (CASE WHEN v_stock_entry.entry_type = 'inward' THEN 1 ELSE -1 END),
        v_stock_entry.reference_type,
        v_stock_entry.reference_number,
        v_stock_entry.created_by,
        v_stock_entry.remarks
    );

    RETURN NEW;
END;
$function$
"
public,update_quotations_updated_at,"CREATE OR REPLACE FUNCTION public.update_quotations_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = CURRENT_TIMESTAMP;
    RETURN NEW;
END;
$function$
"
public,update_solutions_updated_at,"CREATE OR REPLACE FUNCTION public.update_solutions_updated_at()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
public,update_stock_entry_totals,"CREATE OR REPLACE FUNCTION public.update_stock_entry_totals()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    UPDATE stock_entries
    SET
        total_quantity = (
            SELECT COALESCE(SUM(quantity), 0)
            FROM stock_entry_items
            WHERE stock_entry_id = COALESCE(NEW.stock_entry_id, OLD.stock_entry_id)
        ),
        total_value = (
            SELECT COALESCE(SUM(total_price), 0)
            FROM stock_entry_items
            WHERE stock_entry_id = COALESCE(NEW.stock_entry_id, OLD.stock_entry_id)
        )
    WHERE id = COALESCE(NEW.stock_entry_id, OLD.stock_entry_id);

    RETURN COALESCE(NEW, OLD);
END;
$function$
"
public,update_updated_at_column,"CREATE OR REPLACE FUNCTION public.update_updated_at_column()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
BEGIN
    NEW.updated_at = NOW();
    RETURN NEW;
END;
$function$
"
